S2A_MSIL2A_20180527T093041_68_6,S1B_IW_GRDH_1SDV_20180526T152354_35VPK_68_6
S2A_MSIL2A_20180510T094031_78_67,S1B_IW_GRDH_1SDV_20180510T155448_35VLC_78_67
S2B_MSIL2A_20170817T101019_24_59,S1B_IW_GRDH_1SDV_20170817T045637_34WFS_24_59
S2B_MSIL2A_20180204T94161_15_63,S1A_IW_GRDH_1SDV_20180204T043253_35VPK_15_63
S2B_MSIL2A_20180224T112109_78_3,S1A_IW_GRDH_1SDV_20180226T063447_29SNC_78_3
S2B_MSIL2A_20170924T093019_2_89,S1B_IW_GRDH_1SDV_20170924T044105_35VNH_2_89
S2B_MSIL2A_20180511T100029_4_31,S1A_IW_GRDH_1SDV_20180512T162925_34VDM_4_31
S2A_MSIL2A_20180413T95032_16_29,S1A_IW_GRDH_1SDV_20180415T160451_35VLG_16_29
S2B_MSIL2A_20180515T112110_70_1,S1B_IW_GRDH_1SDV_20180515T063356_29SND_70_1
S2B_MSIL2A_20180201T093219_73_54,S1B_IW_GRDH_1SDV_20180130T162407_34TEP_73_54
S2A_MSIL2A_20171002T112111_17_48,S1B_IW_GRDH_1SDV_20171004T064231_29SNC_17_48
S2B_MSIL2A_20180509T092029_39_12,S1A_IW_GRDH_1SDV_20180511T043832_34TFN_39_12
S2A_MSIL2A_20180529T115401_29_60,S1A_IW_GRDH_1SDV_20180529T181504_29UNB_29_60
S2B_MSIL2A_20171015T104009_10_75,S1A_IW_GRDH_1SDV_20171016T055031_31UGS_10_75
S2B_MSIL2A_20170924T93021_33_43,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_33_43
S2B_MSIL2A_20170801T095029_10_69,S1B_IW_GRDH_1SDV_20170801T164135_33TXN_10_69
S2B_MSIL2A_20180525T094029_90_72,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_90_72
S2B_MSIL2A_20180522T093029_26_18,S1A_IW_GRDH_1SDV_20180523T043256_35VPJ_26_18
S2A_MSIL2A_20180225T114351_36_14,S1B_IW_GRDH_1SDV_20180225T063817_29UPU_36_14
S2B_MSIL2A_20170709T094029_23_48,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_23_48
S2B_MSIL2A_20170906T101020_81_73,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_81_73
S2A_MSIL2A_20170617T113321_47_31,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_47_31
S2A_MSIL2A_20170617T113321_35_19,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_35_19
S2A_MSIL2A_20180419T101031_82_86,S1A_IW_GRDH_1SDV_20180420T161303_34VDN_82_86
S2B_MSIL2A_20180502T093039_54_20,S1A_IW_GRDH_1SDV_20180430T162450_34TEP_54_20
S2B_MSIL2A_20170906T101019_82_19,S1B_IW_GRDH_1SDV_20170905T160435_34VDN_82_19
S2B_MSIL2A_20180515T112110_64_72,S1B_IW_GRDH_1SDV_20180515T063356_29SND_64_72
S2B_MSIL2A_20170831T095029_22_4,S1A_IW_GRDH_1SDV_20170831T164243_33UXP_22_4
S2A_MSIL2A_20171002T094031_44_64,S1B_IW_GRDH_1SDV_20170930T164112_34TCR_44_64
S2B_MSIL2A_20170808T094029_45_47,S1A_IW_GRDH_1SDV_20170808T043524_35ULA_45_47
S2A_MSIL2A_20171201T112431_35_6,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_35_6
